!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H           H                       H2                                               1.00E+00     0.00      0.0              0
H2DO+       CH3OD                   CH3OHD+     HDO                                  4.76E-10    -0.50      0.0              5       !  4  5  4  2
H2DO+       CH3OD                   CH3OH2+     D2O                                  1.19E-10    -0.50      0.0              5       !  1  6  4  2
H3O+        CH2DOD                  CHD2OH2+    H2O                                  3.57E-10    -0.50      0.0              5       !  3  1  5  2
H3O+        CH2DOD                  CH2DOHD+    H2O                                  7.14E-10    -0.50      0.0              5       !  6  2  5  2
H3O+        CH2DOD                  CH3OD2+     H2O                                  1.19E-10    -0.50      0.0              5       !  1  3  5  2
H3O+        CH2DOD                  CH2DOH2+    HDO                                  7.14E-10    -0.50      0.0              5       !  6  4  5  2
H3O+        CH2DOD                  CH3OHD+     HDO                                  4.76E-10    -0.50      0.0              5       !  4  5  5  2
H3O+        CH2DOD                  CH3OH2+     D2O                                  1.19E-10    -0.50      0.0              5       !  1  6  5  2
D3O+        CH3OH                   CD3OH2+     H2O                                  7.14E-11    -0.50      0.0              5       !  1  1  1  3
D3O+        CH3OH                   CHD2OHD+    H2O                                  4.29E-10    -0.50      0.0              5       !  6  2  1  3
D3O+        CH3OH                   CH2DOD2+    H2O                                  2.14E-10    -0.50      0.0              5       !  3  3  1  3
D3O+        CH3OH                   CHD2OH2+    HDO                                  4.29E-10    -0.50      0.0              5       !  6  4  1  3
D3O+        CH3OH                   CH2DOHD+    HDO                                  8.57E-10    -0.50      0.0              5       ! 12  5  1  3
D3O+        CH3OH                   CH3OD2+     HDO                                  1.43E-10    -0.50      0.0              5       !  2  6  1  3
D3O+        CH3OH                   CH2DOH2+    D2O                                  2.14E-10    -0.50      0.0              5       !  3  7  1  3
D3O+        CH3OH                   CH3OHD+     D2O                                  1.43E-10    -0.50      0.0              5       !  2  8  1  3
HD2O+       CH2DOH                  CD3OH2+     H2O                                  7.14E-11    -0.50      0.0              5       !  1  1  2  3
HD2O+       CH2DOH                  CHD2OHD+    H2O                                  4.29E-10    -0.50      0.0              5       !  6  2  2  3
HD2O+       CH2DOH                  CH2DOD2+    H2O                                  2.14E-10    -0.50      0.0              5       !  3  3  2  3
HD2O+       CH2DOH                  CHD2OH2+    HDO                                  4.29E-10    -0.50      0.0              5       !  6  4  2  3
HD2O+       CH2DOH                  CH2DOHD+    HDO                                  8.57E-10    -0.50      0.0              5       ! 12  5  2  3
HD2O+       CH2DOH                  CH3OD2+     HDO                                  1.43E-10    -0.50      0.0              5       !  2  6  2  3
HD2O+       CH2DOH                  CH2DOH2+    D2O                                  2.14E-10    -0.50      0.0              5       !  3  7  2  3
HD2O+       CH2DOH                  CH3OHD+     D2O                                  1.43E-10    -0.50      0.0              5       !  2  8  2  3
H2DO+       CHD2OH                  CD3OH2+     H2O                                  7.14E-11    -0.50      0.0              5       !  1  1  3  3
H2DO+       CHD2OH                  CHD2OHD+    H2O                                  4.29E-10    -0.50      0.0              5       !  6  2  3  3
H2DO+       CHD2OH                  CH2DOD2+    H2O                                  2.14E-10    -0.50      0.0              5       !  3  3  3  3
H2DO+       CHD2OH                  CHD2OH2+    HDO                                  4.29E-10    -0.50      0.0              5       !  6  4  3  3
H2DO+       CHD2OH                  CH2DOHD+    HDO                                  8.57E-10    -0.50      0.0              5       ! 12  5  3  3
H2DO+       CHD2OH                  CH3OD2+     HDO                                  1.43E-10    -0.50      0.0              5       !  2  6  3  3
